dataset_id,dataset_title,method_key,method,stage_dir,n,value
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,13,0.9004455091182041
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,14,0.8975133142619732
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,15,0.8938293591131672
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,16,0.8871650418147626
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,0,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,1,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,2,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,3,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,4,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,5,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,6,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,7,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,8,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,9,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,10,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,12,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,14,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,16,0.7414091865172201
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,0,0.7414091865172201
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,1,0.944029569228641
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,2,0.9495245427265484
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,3,0.9528486981938016
